instruction,output
"日本の首都はどこですか？","日本の首都は東京です。"
"1+1の答えを教えてください。","1+1の答えは2です。"
"おはようございますと言ってください。","おはようございます！今日も良い一日をお過ごしください。"  
"Python とは何ですか？","Pythonはプログラミング言語の一つで、シンプルで読みやすい構文が特徴です。"
"機械学習について簡潔に説明してください。","機械学習とは、コンピュータがデータから自動でパターンを学習し、予測や判断を行う技術です。"
"今日の天気はどうですか？","申し訳ございませんが、リアルタイムの天気情報は提供できません。天気予報サイトをご確認ください。"
"ありがとうございますを英語で言うと？","ありがとうございますを英語で言うと「Thank you」です。"
"富士山の高さは？","富士山の高さは3,776メートルです。"
"日本で一番長い川は？","日本で一番長い川は信濃川で、長さは367キロメートルです。"
"2×3の計算結果は？","2×3の計算結果は6です。"
"こんにちはを英語で言うと？","こんにちはを英語で言うと「Hello」です。"
"コンピューターとは何ですか？","コンピューターとは、プログラムに従って自動的に計算や処理を行う電子機器です。"
"インターネットの仕組みを簡単に説明してください。","インターネットは世界中のコンピューターを接続するネットワークで、情報の共有や通信を可能にします。"
"AIとは何の略ですか？","AIは「Artificial Intelligence」の略で、人工知能という意味です。"
"プログラミングとは何ですか？","プログラミングとは、コンピューターに実行させたい処理を、プログラミング言語を使って指示することです。"
"データベースとは何ですか？","データベースとは、大量のデータを効率的に保存・管理・検索できるシステムです。"
"OSとは何の略ですか？","OSは「Operating System」の略で、オペレーティングシステムのことです。"
"クラウドコンピューティングとは？","クラウドコンピューティングとは、インターネット経由でコンピューターリソースを利用するサービスです。"
"HTMLとは何ですか？","HTMLは「HyperText Markup Language」の略で、ウェブページを作成するためのマークアップ言語です。"
"CPUとは何の略ですか？","CPUは「Central Processing Unit」の略で、中央処理装置のことです。"
